County Name ,State,Median Age ,PerCapita Income,Percent in Poverty,Population Density,Crime Index (Per capita)
Howard,IA,37.7,15702,12.9,20.9,98
Humboldt,IA,38.6,17789,9.1,24.4,53
Ida,IA,36.9,17383,9.8,19.2,1
Iowa,IA,36.6,19405,7.2,25.2,13
Jackson,IA,35,16008,13,31.6,142
Jasper,IA,36.1,18338,8.3,47.8,124
Jefferson,IA,36.8,16230,14.2,37.9,324
Johnson,IA,27.3,18890,9.7,159.6,44
Jones,IA,34.6,14345,11.3,34.4,142
Keokuk,IA,37.4,16166,12.9,20,187
Kossuth,IA,36.7,16974,11.2,18.7,114
Lee,IA,35.8,16605,13.1,75.6,159
Linn,IA,33.1,20425,9.3,241.1,1
Louisa,IA,34.3,17065,11.6,28.4,297
Lyon,IA,34.8,15323,9.8,20.4,28
Mahaska,IA,34.8,16206,12.2,37.7,75
Marion,IA,34.2,18054,9.4,54.5,48
Marshall,IA,36.7,18872,10.8,66,374
Mills,IA,35.1,20575,10.1,30.7,3
Mitchell,IA,38.3,18621,9.5,23,93
Monona,IA,40.5,16581,13.9,14.4,247
Monroe,IA,37.8,16666,15.3,18.9,88
Montgomery,IA,38.6,17442,10.9,28.1,375
Muscatine,IA,33.1,19649,10.7,93,173
O'Brien,IA,36.9,17435,9.5,27,232
Osceola,IA,36.1,16182,9.1,18.1,113
Page,IA,38.2,17759,12.6,31.2,298
Plymouth,IA,34.1,17987,7.6,27.4,35
Pocahontas,IA,39.2,17646,10.6,16.1,112
Polk,IA,32.4,22331,10.3,593.5,535
Pottawattamie,IA,33.5,16734,12.5,87.5,21
Poweshiek,IA,34.5,17751,9.9,32.3,7
Ringgold,IA,42.2,14704,17.1,10,91
Sac,IA,38.3,16708,10.9,21.2,56
Scott,IA,32.4,19280,12.7,338.7,693
Shelby,IA,37.3,16945,10.2,22.3,1
Sioux,IA,30.9,15996,7.1,39.6,44
Story,IA,25.9,17373,10.4,129.9,350
Tama,IA,37.4,16363,10.5,24.1,175
Taylor,IA,40,13641,16,13.3,134
Union,IA,36.5,15634,14.2,29.7,148
Wapello,IA,37.1,16319,15.1,83.1,380
Warren,IA,32.8,17458,7.3,65.2,250
Wayne,IA,42.1,14433,16.7,13.3,172
Webster,IA,35.5,17467,13.3,56.1,3
Winnebago,IA,35.9,18149,9.6,29.7,134
Winneshiek,IA,31.7,16305,11.1,30.4,194
Woodbury,IA,32.9,18983,13,114.5,616
Worth,IA,38.3,15993,10.2,19.8,46
Wright,IA,39,17048,10.4,24.6,86
Ada,ID,31.9,21384,9.1,211.9,463
