County Name ,State,Median Age ,PerCapita Income,Percent in Poverty,Population Density,Crime Index (Per capita)
Pecos,TX,29.6,11471,27,3,384
Polk,TX,39.8,14895,20,31.6,439
Potter,TX,31.3,16740,23.7,109.5,843
Rains,TX,38.2,13561,14,30.2,296
Randall,TX,32.3,19109,8.6,100.1,710
Reagan,TX,26.9,11073,14,3.9,146
Reeves,TX,29.1,11780,30.1,5.9,474
Refugio,TX,35.1,18812,21.3,10.3,249
Robertson,TX,34.2,14379,25.9,17.9,301
Rockwall,TX,33.1,22814,7.9,225.2,386
Runnels,TX,37,14895,18.9,10.4,218
Rusk,TX,35,15679,19.5,47.5,525
Sabine,TX,46.8,14447,18,19.6,236
Schleicher,TX,33.4,13435,19.2,2.3,250
Scurry,TX,32.6,14567,17.9,20.8,320
Shackelford,TX,37.3,18336,15.8,3.6,118
Shelby,TX,36.5,15497,23.3,27.6,390
Sherman,TX,34.4,37070,10.3,3,82
Smith,TX,33.2,18888,17.6,166.5,825
Somervell,TX,31.7,16877,14.5,29.4,371
Starr,TX,23.9,6118,49.9,36.7,267
Stephens,TX,37.1,15354,19.7,9.6,274
Sterling,TX,30.3,13253,13.7,1.6,113
Stonewall,TX,38,18088,15.4,2.2,130
Sutton,TX,32.4,15561,17.3,2.9,400
Swisher,TX,34.2,21608,24.8,9.2,317
Tarrant,TX,30.5,20732,13.7,1410.4,944
Taylor,TX,30.2,16931,17.6,132,475
Terry,TX,31.3,15271,24.1,14.6,578
Titus,TX,32.7,16700,20.1,59.7,510
Travis,TX,29.5,20253,14.8,618.5,989
Trinity,TX,41.2,14071,21.8,16.6,293
Tyler,TX,39.8,13705,19.7,19.4,262
Upshur,TX,34.2,14369,19.1,55.1,290
Upton,TX,29.8,15353,18.4,3.4,202
Uvalde,TX,29.9,12621,32.7,15.5,187
Victoria,TX,31.6,18422,18.1,87.2,765
Walker,TX,30.3,11687,21.2,66.8,429
Waller,TX,28.2,15343,22.8,47.7,584
Ward,TX,30.5,14421,19.9,15,327
Washington,TX,34.2,18656,16.2,43.7,336
Webb,TX,25.5,10459,36.1,44.2,702
Wharton,TX,32.6,15625,20.5,36.7,578
Wheeler,TX,38.6,19117,17.6,6.1,171
Wichita,TX,31.7,17824,16.9,191.7,801
Wilbarger,TX,35.2,16950,17.9,15.1,616
Willacy,TX,27.5,9188,41,30.7,440
Williamson,TX,30.1,17284,9.6,136.3,385
Wilson,TX,32,14234,17.1,29.5,277
Winkler,TX,31.1,13618,18.8,10.1,222
Wise,TX,33.5,15658,14.3,39.6,287
Wood,TX,39.6,15174,17.8,46.3,254
Yoakum,TX,29,16283,16.2,11,186
Young,TX,36.4,18479,16.7,19.2,363
Beaver,UT,31.9,13398,12.8,1.9,249
Cache,UT,23.7,13707,11.4,62.9,355
Carbon,UT,30.8,15205,16.1,13.7,293
Davis,UT,24.7,15074,8,655.5,333
Duchesne,UT,25,13030,20.5,4,363
Iron,UT,24.5,12230,16.4,6.7,401
Juab,UT,28.9,12799,11.2,1.7,331
Kane,UT,30.8,13836,15.6,1.3,340
Millard,UT,26.2,12256,14,1.8,149
Sanpete,UT,24.2,11218,18,11.1,257
Sevier,UT,29,12826,15.4,8.3,408
Tooele,UT,28.3,14674,10.8,4,380
Uintah,UT,26.1,11667,16.2,5.2,377
Utah,UT,22.5,13045,13,137.9,421
Wasatch,UT,27.2,13975,8.9,9.1,312
Washington,UT,28.4,12998,13.5,22.9,392
Weber,UT,28.8,16490,12.9,286.1,618
Accomack,VA,37.6,15365,23.3,70.4,134
Albemarle,VA,31.7,22463,8.6,152.6,172
Amherst,VA,35,14019,12.2,61,242
Arlington,VA,33.8,32945,8.7,6637.1,627
Bedford,VA,35.7,17847,8.3,73.4,108
Botetourt,VA,36.8,17340,7.2,47.4,154
Brunswick,VA,34.2,12238,22.9,28.6,150
Buckingham,VA,35.1,13997,21.8,22.4,169
Campbell,VA,34.1,17675,12,227.8,107
Caroline,VA,33.2,15189,14.6,37.6,214
Charlotte,VA,36.5,13764,18.8,25.1,186
Chesterfield,VA,31.9,22057,6.6,532.8,378
Clarke,VA,36.5,20484,9.6,68,192
Culpeper,VA,33,18083,11.7,76.3,308
Dickenson,VA,34,13762,24.9,53.5,96
Essex,VA,37.6,16818,14.3,34.5,390
Fairfax,VA,33.1,31291,6,2228,317
Fauquier,VA,33.1,24818,7.1,78,200
Floyd,VA,37.8,13989,13.6,32.2,79
Franklin,VA,35.1,15121,12.2,59.2,144
Frederick,VA,33,18161,8.2,170.3,185
Giles,VA,38.1,15018,12.2,45.8,109
Gloucester,VA,33.5,17054,11,144.5,166
Halifax,VA,36.9,14472,16,44.7,145
Hanover,VA,34.5,20331,5.3,142.6,256
Henrico,VA,33.9,24193,7.9,951.3,449
Henry,VA,35.2,17485,12.6,189.9,193
Lancaster,VA,45.5,23256,16,82.6,150
Lee,VA,35.4,12327,30.4,55.6,93
Loudoun,VA,31.6,25669,4.2,181.2,237
Louisa,VA,34.8,15844,12.9,43.2,154
Madison,VA,35.6,14657,13.3,37.3,113
Mathews,VA,43.1,19920,11.2,98,79
Mecklenburg,VA,37.4,15070,16.2,47.4,347
Middlesex,VA,42.8,18730,13.7,68.3,208
Montgomery,VA,25.6,13742,16.6,233.7,341
Nelson,VA,37.1,15409,15.2,27.5,73
Northampton,VA,37.5,15457,27.7,62.7,225
Nottoway,VA,36.7,14719,19.8,48,285
Orange,VA,36.4,16145,10.1,65.6,154
Page,VA,36.2,15121,13.1,71.7,138
Patrick,VA,38,14393,13.8,36.4,243
Pulaski,VA,36.6,14220,15,107,287
Richmond,VA,37.9,15611,17.5,38.1,133
Roanoke,VA,37.3,21923,5.9,416.9,229
Rockingham,VA,34.5,17480,9.3,107,61
Russell,VA,34.6,13406,21.6,60.7,66
Scott,VA,38.2,13686,19.6,43.2,109
Shenandoah,VA,37.4,16526,11.3,63.3,164
Smyth,VA,36.5,14728,17.1,72.6,208
Southampton,VA,33.8,17015,17.8,42.7,102
Spotsylvania,VA,30.9,18951,6.7,208.6,264
Stafford,VA,29.9,17390,5.6,256.3,236
Sussex,VA,35.3,15695,20.8,20.8,283
Tazewell,VA,35.4,14899,19.4,90,160
Warren,VA,34,16489,11.1,129.6,247
Washington,VA,36.8,16089,15.1,115.2,117
Wise,VA,33.9,16099,23,109.3,154
Wythe,VA,36.3,14652,19.5,55.5,181
York,VA,32.8,20841,5.5,550.3,276
Alexandria,VA,33.5,32128,10.2,7542.5,658
Chesapeake,VA,31.3,17920,10,486.1,541
Hampton,VA,30.8,16461,14.2,2640.9,604
Norfolk,VA,27.4,16425,25.3,4721.2,925
Portsmouth,VA,31.7,16082,22,3148,912
Richmond,VA,33.2,25500,25.3,3301.2,1182
Roanoke,VA,35.2,19850,19.8,2244.8,796
Suffolk,VA,33.6,17329,18.1,132.7,590
Addison,VT,31.6,16877,12.2,43.9,144
Bennington,VT,34.9,19934,12.7,52.9,141
Caledonia,VT,33.5,16193,15.5,43.5,151
Chittenden,VT,30.3,21509,9.8,248.6,296
Franklin,VT,31.7,16169,13.9,65,130
Orange,VT,33.1,15532,12.6,38.9,47
Orleans,VT,34.2,15433,18.5,35.2,208
Rutland,VT,34.3,17943,12.7,67.2,188
Washington,VT,34.2,18683,11.2,80.5,124
Windham,VT,34.5,20224,12.1,52.7,128
Windsor,VT,36,19854,11.3,56,176
Adams,WA,30.7,18054,18.2,7.4,576
Asotin,WA,34.9,16722,16.4,29.2,508
Benton,WA,32.1,20199,10,70.6,490
Chelan,WA,35.1,19537,15.9,18.5,704
Clallam,WA,38.4,18452,13.2,34.2,410
Clark,WA,32.9,19377,10.8,414.9,431
Columbia,WA,39,19053,15.5,4.6,735
Cowlitz,WA,34.3,18106,13.9,74.7,422
Douglas,WA,33.5,16721,11.6,15.7,378
Ferry,WA,32.8,13918,17.4,3,319
Franklin,WA,28.7,15733,21.4,32.6,669
Garfield,WA,41.1,19406,9.7,3.2,370
Grant,WA,31.9,16023,17.7,22,579
Island,WA,32.2,17346,7.6,312.1,189
Jefferson,WA,41.1,19333,12.3,12.4,398
King,WA,33.7,27740,9.9,733.5,812
Kitsap,WA,31.8,18603,9.5,532.6,432
Kittitas,WA,30.2,16190,14.5,12.2,633
Klickitat,WA,34.5,16317,17.8,9.2,285
Lewis,WA,34.9,16893,15.6,25.6,459
Lincoln,WA,39.3,20562,10.7,3.9,176
Mason,WA,36.9,15392,13.4,44.2,454
Okanogan,WA,35,16730,21,6.5,500
Pacific,WA,40.3,16265,16.9,20,298
Pierce,WA,31.3,18549,12.9,369.7,676
Skagit,WA,35.6,19127,12.4,49.8,529
Skamania,WA,33.7,17005,13,5.2,459
Snohomish,WA,32.2,20537,9,239.6,411
Spokane,WA,33,18155,13.4,216.6,618
Stevens,WA,34.5,14743,15.8,13.5,317
Thurston,WA,33.7,19912,10.4,242.9,429
Wahkiakum,WA,40.2,17616,10.5,13.2,294
Whatcom,WA,32.7,18152,11.8,65.1,553
Whitman,WA,24.4,14760,14.7,17.8,333
Yakima,WA,31.5,16922,23,46.2,784
Adams,WI,40.2,12485,15.4,25,307
Ashland,WI,33.7,14407,15.8,15.7,342
Barron,WI,34.5,15447,12.6,48.3,234
Bayfield,WI,37.2,14120,14.2,9.6,207
Brown,WI,31.4,19877,8.7,380.9,379
Buffalo,WI,34.9,16046,11.5,20,156
Burnett,WI,39.2,13201,14.2,16.1,273
Calumet,WI,31.3,17598,5.5,110.3,258
Chippewa,WI,33.4,16174,11.3,52.7,233
Clark,WI,33.9,14258,12.7,26.5,144
Columbia,WI,35.2,17418,7.8,60.3,313
Crawford,WI,34.9,14117,13.7,28.1,320
Dane,WI,30.7,22201,8.4,316.3,510
Dodge,WI,33.8,15514,7.6,88.5,278
Door,WI,36.5,18141,9.3,53.7,238
Douglas,WI,34.8,15495,14.6,32.5,563
Dunn,WI,28.5,14274,12.9,43,396
Florence,WI,36.2,13586,11.9,10.2,280
Forest,WI,35.7,12787,17.3,8.8,452
Grant,WI,31.5,15206,11.3,43,210
Green,WI,34.4,18806,8.5,53.4,223
Iowa,WI,33.2,16495,9.5,26.9,142
Iron,WI,42.1,14250,11.7,8.3,260
Jackson,WI,35.5,15323,13.2,17,388
Jefferson,WI,32.8,17588,6.5,124.2,302
Juneau,WI,35.5,14464,12.9,28.9,262
Kenosha,WI,32.5,18065,10.8,491.2,503
Kewaunee,WI,33.7,15826,7,55.4,172
Lafayette,WI,33.6,15690,10.8,25.4,91
Langlade,WI,36.6,15212,13,22.8,399
Lincoln,WI,34.9,14917,9,31.6,325
Manitowoc,WI,34.6,17276,7.8,137.6,309
Marathon,WI,32.7,17860,8.4,76.5,294
Marinette,WI,35.6,15921,11.3,29.2,296
Marquette,WI,39.1,14265,11.4,28.3,316
Milwaukee,WI,32.3,20442,19.4,3944.1,742
Monroe,WI,33.7,14728,12.2,41.8,295
Oconto,WI,35,14014,11.2,30.9,121
Oneida,WI,38.7,17457,10.3,29.4,407
Outagamie,WI,31.4,19882,5.9,224.7,329
Ozaukee,WI,34.6,27218,2.6,327.2,187
Pepin,WI,35.1,15199,10.7,30.6,155
Pierce,WI,29.3,16951,8.1,58.1,226
Polk,WI,34.6,15359,11.8,38.8,211
Portage,WI,29.3,16876,10.8,78.1,401
Price,WI,36.8,16284,11.2,12.5,247
Racine,WI,32.9,20245,10.6,538,555
Richland,WI,35.3,13746,12.9,30.4,199
Rock,WI,33,18642,11,198.3,572
Rusk,WI,35.2,12545,16.6,16.5,287
Sauk,WI,34.2,17661,9,58,307
Sawyer,WI,38.2,13498,18.4,11.9,307
Shawano,WI,35.3,13788,10.6,46.6,282
Sheboygan,WI,33.8,19215,7.3,204.8,417
Taylor,WI,32.3,14133,11.1,19.6,214
Trempealeau,WI,35.7,15154,12.1,34.9,128
Vernon,WI,36.2,13491,13.5,33,117
Vilas,WI,42.9,15453,13,21.3,315
Walworth,WI,33.1,17731,7.9,139.9,321
Washburn,WI,38,14020,13.9,17.4,221
Washington,WI,32.5,20736,3.9,235.6,343
Waukesha,WI,34,25172,3.5,574.9,278
Waupaca,WI,35,17084,8.7,63.4,317
Waushara,WI,38.6,15261,14.6,32.1,266
Winnebago,WI,32.5,19659,7.7,330.4,453
Wood,WI,33.3,19082,9,94.5,307
Barbour,WV,34.9,11945,28.2,46.7,101
Berkeley,WV,33.3,15879,14.9,195.5,393
Braxton,WV,36.4,11924,28.2,25.5,77
Brooke,WV,37.3,14938,15.2,299.2,139
Cabell,WV,35.8,17578,21.3,342.7,537
Fayette,WV,36.2,13248,27.8,72.3,210
Gilmer,WV,33.2,12504,32.3,22.1,163
Grant,WV,35.7,15291,15.6,22.4,82
Greenbrier,WV,37.3,15275,19.9,34.6,118
Hancock,WV,37.7,17743,14.3,421.7,185
Hardy,WV,36.1,14728,15,19.2,133
Harrison,WV,36.9,16101,22.1,168.5,219
Jackson,WV,35.7,13814,20.5,56,143
Jefferson,WV,32.7,17146,13.9,178.4,249
Kanawha,WV,36.7,19720,19.9,229.7,501
Lewis,WV,36.5,13104,26,44.8,141
Lincoln,WV,33.4,10596,32.8,49.4,179
Logan,WV,33.9,14361,27.6,94.2,166
McDowell,WV,34,12045,38.8,63.6,114
Marion,WV,37.3,15491,20.6,186.3,222
Marshall,WV,36.6,14853,18.7,121.5,280
Mason,WV,35.8,13796,22.1,57.7,156
Mercer,WV,36.4,16175,23.9,154.6,277
Mineral,WV,35.3,13944,17.2,82.1,191
Mingo,WV,31.1,14294,30.5,79,176
Monongalia,WV,29.2,17549,17.7,213.7,375
Monroe,WV,37.5,12580,20.1,26.6,79
Morgan,WV,38,14407,15.4,55.9,134
Nicholas,WV,34.7,12733,26,41.6,170
Ohio,WV,37.7,20328,17.7,475.5,262
Pendleton,WV,36.6,14280,16.3,11.5,104
Pleasants,WV,34.9,15742,17.4,57.4,87
Pocahontas,WV,38.5,13703,20.2,9.6,91
Preston,WV,34.5,12975,21.8,45.3,129
Putnam,WV,34.2,16272,12.3,130.8,206
Raleigh,WV,36.1,15586,23.8,127.2,368
Randolph,WV,35.4,13822,24.8,27.2,187
Ritchie,WV,36.4,12457,24.6,22.5,64
Roane,WV,36,11676,27.9,31.2,175
Summers,WV,37.3,11264,29.6,39.3,113
Taylor,WV,35.7,11568,24.4,88,161
Tucker,WV,37.2,13401,18.2,18.6,109
Tyler,WV,36.3,12612,20.1,38,97
Upshur,WV,33.4,12415,25.5,65.1,183
Wayne,WV,35.3,12707,23.7,83,223
Webster,WV,34.8,10297,36.4,18.9,43
Wetzel,WV,36.1,15296,21.6,53.2,154
Wood,WV,36,17736,17.4,238.2,284
Wyoming,WV,33.6,12357,28.3,57.9,140
Albany,WY,26.5,15251,14.9,7.2,522
Campbell,WY,29.2,19679,8.7,6.4,479
Carbon,WY,32.8,18687,11.2,2,386
Converse,WY,31.9,16479,12.1,2.7,425
Crook,WY,33.4,19602,10.3,1.9,215
Fremont,WY,32.9,14797,18.4,3.7,440
Goshen,WY,34.6,17670,18,5.6,308
Hot Springs,WY,38.6,18294,13.3,2.3,366
Johnson,WY,37.6,18504,12.9,1.5,278
Laramie,WY,31.9,19329,11.5,28.1,486
Natrona,WY,32.8,21417,13.6,11.7,667
Niobrara,WY,38.6,19493,16,1,220
Park,WY,33.9,18750,12.2,3.4,361
Platte,WY,36.3,17003,14,3.9,200
Sheridan,WY,36.3,22250,11.6,9.5,275
Sublette,WY,35.4,18748,7.9,1,432
Sweetwater,WY,30.4,19086,7.7,3.9,625
Washakie,WY,34.6,17608,11.7,3.8,313
Weston,WY,34.4,19265,9.4,2.8,167
